epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,751.482,1.15276,1.02953,1.21819,0.70688,0.67159,0.72151,0.54116,0.78932,0.77435,1.03332,0.000365883,0.000365883,0.000365883
28,778.918,1.15732,1.04402,1.22622,0.70347,0.67116,0.71048,0.53116,0.79705,0.79187,1.03356,0.00036094,0.00036094,0.00036094
29,806.186,1.16131,1.03231,1.21843,0.73953,0.64948,0.70393,0.52782,0.79456,0.7983,1.03136,0.000355996,0.000355996,0.000355996
30,833.5,1.14897,1.02253,1.21866,0.72568,0.66107,0.70996,0.53224,0.80113,0.79534,1.03242,0.000351053,0.000351053,0.000351053
31,860.702,1.13152,0.99742,1.20149,0.73273,0.67468,0.71426,0.52933,0.79094,0.78186,1.03027,0.000346109,0.000346109,0.000346109
32,887.992,1.13831,1.00496,1.20694,0.7161,0.68071,0.71105,0.53165,0.79375,0.76923,1.03283,0.000341165,0.000341165,0.000341165
33,915.276,1.13431,0.98346,1.19979,0.7341,0.66036,0.71012,0.52961,0.79772,0.78011,1.04209,0.000336222,0.000336222,0.000336222
34,942.782,1.12735,0.9887,1.20137,0.72119,0.69718,0.72246,0.54696,0.77112,0.77451,1.01837,0.000331278,0.000331278,0.000331278
35,970.177,1.10776,0.97248,1.19094,0.71649,0.65573,0.71241,0.54114,0.7755,0.80486,1.02099,0.000326335,0.000326335,0.000326335
36,997.461,1.09651,0.94746,1.17288,0.72782,0.68112,0.72019,0.5369,0.80493,0.7703,1.03646,0.000321391,0.000321391,0.000321391
37,1024.68,1.11038,0.9545,1.18521,0.75893,0.66788,0.74215,0.5615,0.77849,0.72754,1.02514,0.000316448,0.000316448,0.000316448
38,1052.44,1.095,0.94447,1.18014,0.72433,0.67444,0.71472,0.53474,0.79085,0.76415,1.03374,0.000311504,0.000311504,0.000311504
39,1079.73,1.11424,0.95936,1.19072,0.74638,0.66801,0.72549,0.54622,0.79286,0.7755,1.02676,0.00030656,0.00030656,0.00030656
40,1106.98,1.10325,0.9387,1.18299,0.69801,0.67029,0.71491,0.54279,0.77709,0.78084,1.0257,0.000301617,0.000301617,0.000301617
41,1134.15,1.09417,0.9286,1.17474,0.76222,0.63962,0.7262,0.54919,0.76913,0.7732,1.02036,0.000296673,0.000296673,0.000296673
42,1161.7,1.09289,0.93335,1.17523,0.73045,0.64329,0.69016,0.51976,0.7857,0.78011,1.0317,0.00029173,0.00029173,0.00029173
43,1188.92,1.09923,0.93955,1.18329,0.74498,0.684,0.73786,0.55457,0.77665,0.75643,1.02338,0.000286786,0.000286786,0.000286786
44,1216.15,1.07194,0.90408,1.16662,0.74368,0.65831,0.72056,0.55014,0.77053,0.752,1.0196,0.000281842,0.000281842,0.000281842
45,1243.45,1.07546,0.90544,1.168,0.70288,0.6855,0.7279,0.55176,0.77414,0.76532,1.02417,0.000276899,0.000276899,0.000276899
46,1270.74,1.05484,0.87536,1.15837,0.75753,0.6701,0.73647,0.56364,0.76948,0.76076,1.01865,0.000271955,0.000271955,0.000271955
47,1298.01,1.06851,0.88638,1.1626,0.73301,0.64879,0.73213,0.55213,0.78731,0.76703,1.01968,0.000267012,0.000267012,0.000267012
48,1325.38,1.06173,0.87761,1.15794,0.7274,0.65598,0.71004,0.53916,0.7747,0.78899,1.01798,0.000262068,0.000262068,0.000262068
49,1352.93,1.05877,0.88864,1.1604,0.71145,0.67772,0.72483,0.55612,0.75889,0.76613,1.01245,0.000257124,0.000257124,0.000257124
50,1380.23,1.05296,0.87157,1.15058,0.75396,0.64562,0.71885,0.55353,0.76028,0.77183,1.01687,0.000252181,0.000252181,0.000252181
51,1407.27,1.0459,0.87042,1.15756,0.73212,0.68791,0.7289,0.5454,0.81195,0.77366,1.03828,0.000247237,0.000247237,0.000247237
52,1434.5,1.04891,0.85956,1.14709,0.74956,0.65709,0.72931,0.55301,0.78191,0.78446,1.01901,0.000242294,0.000242294,0.000242294
53,1461.95,1.03774,0.85365,1.13911,0.77003,0.66475,0.73731,0.56026,0.75533,0.74978,1.01911,0.00023735,0.00023735,0.00023735
54,1489.27,1.04704,0.85789,1.14284,0.73339,0.66405,0.73157,0.5602,0.76228,0.77211,1.01718,0.000232406,0.000232406,0.000232406
55,1516.54,1.03287,0.84534,1.14225,0.78207,0.62142,0.7212,0.55702,0.76543,0.77231,1.01853,0.000227463,0.000227463,0.000227463
56,1543.74,1.03101,0.83188,1.13231,0.74055,0.67163,0.72979,0.55723,0.76246,0.772,1.02196,0.000222519,0.000222519,0.000222519
57,1571.13,1.02628,0.83736,1.13646,0.75229,0.66437,0.73192,0.56513,0.74569,0.74961,1.00911,0.000217576,0.000217576,0.000217576
58,1598.56,1.01049,0.81238,1.12616,0.77912,0.64271,0.72417,0.56098,0.75921,0.77049,1.01451,0.000212632,0.000212632,0.000212632
59,1625.7,1.02146,0.81967,1.1288,0.78817,0.66917,0.7296,0.56384,0.7587,0.7663,1.01408,0.000207688,0.000207688,0.000207688
60,1652.93,1.02204,0.81716,1.12818,0.74018,0.68739,0.73255,0.56675,0.75106,0.75234,1.01566,0.000202745,0.000202745,0.000202745
61,1680.72,1.00304,0.80676,1.12627,0.75448,0.64725,0.7313,0.5646,0.75285,0.76523,1.01079,0.000197801,0.000197801,0.000197801
62,1707.87,1.00336,0.80709,1.1272,0.77603,0.65508,0.72733,0.56905,0.75193,0.76084,1.01416,0.000192858,0.000192858,0.000192858
